org,repo_name,health_score,num_commits,max_num_commits,commit_count_metric,avg_opened_duration,min_opened_duration,opened_issued_metric,avg_merged_duration,min_merged_duration,merged_pr_metric,ratio,max_ratio,commit_developer_metric
autotester-one,integration-tests-68777,0.24,,,,2817000,663000,0.23535676,,,,,,
Kotlin,dukat,0.24,,,,2802000,663000,0.2366167,,,,,,
PageMenu,PageMenu,0.24,,,,2785000,663000,0.23806104,,,,,,
louking,rrwebapp,0.24,,,,2785000,663000,0.23806104,,,,,,
aleab,toastify,0.24,,,,2783000,663000,0.23823212,,,,,,
okmttdhr,test,0.24,,,,2778000,663000,0.2386609,,,,,,
Crinsane,LaravelShoppingcart,0.24,,,,2777000,663000,0.23874685,,,,,,
alphaolomi,rest-in-go,0.24,,,,2758500,663000,0.24034801,,,,,,
joelverhagen,TorSharp,0.24,,,,2763000,663000,0.23995657,,,,,,
akanimax,pro_gan_pytorch,0.24,,,,2757000,663000,0.24047878,,,,,,
contentful,create-contentful-extension,0.24,,,,2737000,663000,0.24223602,,,,,,
autotester-one,integration-tests-62621,0.24,,,,2736000,663000,0.24232456,,,,,,
cloudposse,terraform-aws-kops-efs,0.24,,,,2731000,663000,0.24276821,,,,,,
MooDEdge-TeamCity,Delivery-Account-Actions,0.24,,,,2724000,663000,0.24339207,,,,,,
acdh-oeaw,network-visualization,0.24,,,,2720000,663000,0.24375,,,,,,
biancode,node-red-contrib-modbus,0.24,,,,2718000,663000,0.24392936,,,,,,
jpuri,react-draft-wysiwyg,0.24,,,,2711000,663000,0.2445592,,,,,,
luo1994,du-app-sign,0.24,,,,2707000,663000,0.24492058,,,,,,
uniorunr,culture-portal,0.23,8,40344,1.9829467E-4,2884000,663000,0.22988905,28324500,0,0.0,2.0,40344.0,4.9573668E-5
niklasf,syzygy-tables.info,0.23,3,40344,7.43605E-5,2835000,663000,0.23386243,,,,3.0,40344.0,7.43605E-5
cabaletta,baritone,0.23,2,40344,4.9573668E-5,2824000,663000,0.23477337,,,,2.0,40344.0,4.9573668E-5
chenkunbest,blog,0.23,6,40344,1.48721E-4,2888000,663000,0.22957064,,,,6.0,40344.0,1.48721E-4
frida,frida,0.23,,,,2925000,663000,0.22666667,,,,,,
zsmartsystems,com.zsmartsystems.zigbee,0.23,3,40344,7.43605E-5,2894000,663000,0.22909468,42299000,0,0.0,3.0,40344.0,7.43605E-5
aimanyeye,aimanyeye.github.io,0.23,1,40344,2.4786834E-5,2871000,663000,0.23092999,,,,1.0,40344.0,2.4786834E-5
diddipoeler,sportsmanagement,0.23,,,,2859000,663000,0.23189926,,,,,,
llldar,cryston,0.23,,,,2895500,663000,0.228976,,,,,,
mcdeck,pilight2mqtt,0.23,,,,2944000,663000,0.2252038,,,,,,
FOSSEE,OMChemSim,0.23,,,,2936000,663000,0.22581744,,,,,,
gurumaragy-brotherhood,I-want-to-join-occult-for-money-I-want-to-be-a-pastor-I-want-to-be-a-governor-2348180894378-,0.23,,,,2923000,663000,0.22682177,,,,,,
BlockScope,flare-timing,0.23,,,,2911000,663000,0.22775678,,,,,,
opensourceBIM,GltfSerializers,0.23,,,,2908000,663000,0.22799174,,,,,,
linG5821,Studio3TCrack,0.23,,,,2895000,663000,0.22901554,,,,,,
Mawi137,ngx-image-cropper,0.23,,,,2879000,663000,0.2302883,,,,,,
BSData,wh40k-killteam,0.23,,,,2877000,663000,0.23044838,,,,,,
nuang-ee,reversing,0.23,,,,2871000,663000,0.23092999,,,,,,
BethanyL,DeepKoopman,0.23,,,,2869000,663000,0.23109098,,,,,,
yyyar,gobetween,0.23,,,,2860000,663000,0.23181818,,,,,,
nadeesha,ts-prune,0.23,,,,2852000,663000,0.23246844,,,,,,
vashpan,xcode-dev-cleaner,0.23,,,,2840000,663000,0.23345071,,,,,,
